FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,GlobalID
113,1309,Marion,Florida,12,083,12083,350915,211,331298,199.2,268284,40828,1309,4407,144,36137,9512,6814,158993,172305,17112,17413,18029,19033,16336,31810,35855,44391,46001,47094,28822,9402,47.3,45.9,48.6,137726,2.35,14876,21873,19921,50137,3488,10412,92554,2.8,164050,26324,105075,32651,3870,83,69750,48624,1662.75,2.93216474501,0.401712355896,5703352156.66406,345337.162387408,b43497c9-4382-4ce3-ae76-460654f51420
114,1310,Monroe,Florida,12,087,12087,77537,73.9,73090,69.7,65409,4194,296,809,70,15071,1011,1301,38962,34128,3189,2858,2937,3260,3758,8885,9887,12876,12971,7696,3609,1164,46.4,46.5,46.4,32629,2.18,5908,4142,4130,9910,798,1617,18219,2.7,52764,20135,18501,14128,28,17,130,386947,1049.19,3.66030457147,0.200978904651,2759063483.55664,430772.71595284,2fc0dd00-9a72-43bc-ba2a-92fa796dfb8b
115,1311,Nassau,Florida,12,089,12089,80628,120.9,73314,110,65809,4668,308,639,50,2380,685,1155,36146,37168,3983,4325,4816,4628,3895,7613,9490,11563,11093,7396,3479,1033,42.9,42,43.7,28794,2.53,2874,3427,6008,10425,823,1872,20870,2.93,35009,6215,22449,6345,444,89,4877,14739,666.63,2.05464539521,0.149254579614,2148796372.64258,249030.424990996,efda29ce-154b-4bd0-a5a5-8692232021cf
116,1312,Okaloosa,Florida,12,091,12091,198210,211.3,180822,192.7,146582,16797,1068,5328,354,12296,3592,7101,90843,89979,11608,10881,10674,11942,13678,24995,21675,28748,21403,14094,8577,2547,38.2,36.3,40.1,72379,2.43,8943,9958,14435,22189,1959,5812,48457,2.92,92407,20028,47095,25284,477,129,18649,21562,938.2,2.75089787167,0.222932224242,3213354629.18164,328282.798299213,9a124d1d-3ab5-4708-b898-1abb6d33c260
117,1313,Okeechobee,Florida,12,093,12093,39837,44.7,39996,44.8,31009,3203,380,351,29,9561,4273,751,21430,18566,2659,2543,2591,2899,2537,5058,4968,5401,4549,3902,2227,662,38.5,37.5,39.8,14013,2.68,1715,1636,2818,4150,575,1182,9632,3.13,18509,4496,10184,3829,678,652,52142,378876,891.79,2.14583430495,0.208046946005,2903649812.38281,255756.467239022,6654f120-b10f-4a73-afa7-63f948b557be
118,1314,Orange,Florida,12,095,12095,1332714,1328.2,1145956,1142.1,728795,238241,4532,56581,1266,308244,77216,39325,564326,581630,74185,73754,74975,88367,105821,177117,164468,162059,114291,62011,35392,13516,33.7,32.7,34.7,421847,2.64,50043,54789,88385,95101,13126,43903,273454,3.19,487839,65992,243950,177897,662,200,13790,395193,1003.37,2.49518429052,0.242852618046,3424770791.83594,290622.852400757,704bf815-2999-4bf2-9183-726d64f7a916
119,1315,Osceola,Florida,12,097,12097,333980,221.9,268685,178.5,190641,30369,1452,7406,294,122146,27623,10900,131634,137051,17796,18815,20572,21442,18007,35301,39484,38876,28736,17613,8990,3053,35.6,34.4,36.8,90603,2.93,7601,8661,23209,24354,3608,10308,68547,3.3,128170,37567,58541,32062,365,1499,29700,297659,1505.11,3.0486487564,0.354962647428,4984569802.66211,359473.655227911,1671f367-158f-48dc-b373-8ddc4c73990a
120,1316,Pasco,Florida,12,101,12101,512082,669.3,464697,607.4,409784,20700,1646,9796,270,54536,12054,10447,225886,238811,25664,27278,28407,27637,22191,49207,60711,66594,60763,50870,32822,12553,43.6,42.4,44.8,189612,2.42,21081,28672,35180,61736,5224,13202,127079,2.9,228928,39316,146239,43373,1065,161,24708,69351,765.07,1.95839388621,0.178104462508,2506959365.13281,226752.004698993,ed03a4a5-ed25-413e-8226-55f447df9a65
121,1317,Pinellas,Florida,12,103,12103,968279,3322.6,916542,3145.1,752892,94745,2892,27148,810,73241,18039,20016,440009,476533,42349,43079,46769,50416,47098,99379,111363,147591,134399,95294,66970,31835,46.2,44.8,47.5,415876,2.16,62041,85270,53248,114478,9093,29716,234268,2.79,503634,87758,280458,135418,118,13,577,22419,291.42,1.85631257396,0.0730471990142,1024653720.22266,222913.881877479,5c51c859-9150-48a9-a552-2ca01dbf9848
122,1318,Polk,Florida,12,105,12105,662431,329.4,602095,299.4,452854,88833,2706,9760,360,106532,32847,14735,295313,306782,38839,39316,39282,40847,36499,71248,73447,80077,74244,60758,35544,11994,39.8,38.6,41,227485,2.59,23284,30914,43953,72298,7154,20589,159323,3.05,281214,53729,160442,67043,2415,216,125095,145042,2011.18,3.42855403904,0.479499223446,6726394017.79883,402692.113589347,3141198d-a178-4a22-9fa6-5ece2bed4f72
123,1319,Putnam,Florida,12,107,12107,74098,89.6,74364,89.9,57468,12030,359,455,53,6706,2705,1294,36884,37480,4689,4506,4675,4930,4046,7747,7987,11014,10700,7965,4637,1468,43.3,42,44.7,29409,2.48,3733,4141,4696,9161,930,2760,19737,2.97,37337,7928,22333,7076,430,164,10329,102760,827.11,2.09063387184,0.199066137818,2837366965.86133,248937.518572481,3e16fccd-6d6e-4d98-ae9f-c24faff629cc
124,1320,St. Johns,Florida,12,109,12109,238439,362,190039,288.5,169794,10684,551,3920,149,9972,1576,3365,92425,97614,10106,12371,13207,12944,9871,18603,25701,30774,26669,16708,9408,3677,42.2,41.3,43,75338,2.49,7457,10388,17789,24462,1644,4555,52223,2.95,89830,14492,57862,17476,188,179,18473,370528,658.69,1.91774663585,0.141917786539,2028629002.04492,233944.516538379,86b9ccbf-d140-44a4-9602-4a6b4dbf3e41
125,1321,Santa Rosa,Florida,12,113,12113,171747,167.6,151372,147.7,132920,8205,1306,2759,217,6507,1463,4502,76422,74950,9197,9770,10620,10550,8875,18591,20893,24835,18581,12043,5801,1616,39.1,37.9,40.3,56910,2.59,5819,6329,13849,18614,1648,4294,41553,2.99,64760,7850,43453,13457,666,147,69610,94250,1024.96,2.90316785012,0.254902191322,3674812452.82031,348145.594595748,bba65256-e5bd-40e0-9884-b8c7b9b44ff7
126,1322,Sarasota,Florida,12,115,12115,414899,716.3,379448,655.1,342090,17815,945,4903,134,30033,7556,6005,181041,198407,14624,15902,17814,18363,15253,31182,38116,51632,58335,58323,41878,18026,52.5,50.8,54.1,175746,2.13,21399,34995,20921,64814,3297,8931,106952,2.64,228413,52667,131759,43987,283,283,4670,88457,579.23,2.05979861052,0.133614406998,1861185420.74023,243406.038535199,d12b3283-5e43-4c39-a70f-b0ccb37c5beb
127,1323,Seminole,Florida,12,117,12117,457650,1326,422718,1224.8,330664,47107,1386,15692,258,72457,15421,12190,204799,217919,23363,25722,28998,30877,30888,54808,58859,67310,51216,27633,16146,6898,38,36.5,39.4,164706,2.55,17464,23199,36009,44014,4479,13981,110426,3.05,181307,16601,109499,55207,312,70,2419,88040,345.14,1.33897652018,0.0811945481884,1147258025.70313,156840.609775587,8db0dfd6-59e4-41ff-a168-b9cf5dcb574f
128,1324,Sumter,Florida,12,119,12119,125329,216.1,93420,161.1,80893,9022,359,620,39,5582,1437,1050,48611,44809,2243,2348,2360,2542,2453,6452,7473,8574,18445,26733,11375,2422,62.4,61.1,63.4,41361,2.04,3915,6431,2572,23224,527,1260,29117,2.37,53026,11665,37085,4276,1367,134,20734,30773,579.9,2.0180634237,0.138334958568,1954398675.18555,243887.951183815,0bd2c612-5c82-4c29-8191-23e4d53f4de7
129,1325,Suwannee,Florida,12,121,12121,44733,64.6,41551,60,34299,4754,211,228,15,3596,1271,773,20945,20606,2574,2595,2612,2654,2267,4680,4830,5875,5614,4448,2472,930,42.1,39.9,44.3,15953,2.52,1775,2305,2935,5095,560,1336,11035,2.97,19164,3211,12003,3950,1266,153,84084,234060,692.1,1.79855819428,0.170750467266,2448253777.17578,217644.33295573,7ce7d78f-9235-4701-8365-f5052650a5d2
130,1326,Taylor,Florida,12,123,12123,22641,21.6,22570,21.5,16964,4669,180,153,6,777,205,393,12554,10016,1289,1193,1198,1256,1458,3013,3045,3472,3118,2152,1095,281,41.2,39.6,43.8,7920,2.44,972,1160,1330,2459,269,743,5389,2.93,11004,3084,6059,1861,181,207,2270,32160,1048.68,2.24822990118,0.25281802247,3619277624.87695,269080.99896029,41214ba3-6518-43a6-aa37-7960bb54e59d
131,1327,Union,Florida,12,125,12125,15704,62.9,15535,62.2,11655,3449,57,34,2,743,113,225,10045,5490,827,769,880,896,1075,2415,2170,2585,2364,1032,422,100,39,40.3,36.4,4048,2.66,487,477,962,1110,141,425,2906,3.13,4508,460,2885,1163,291,159,7286,25495,249.77,1.10636541266,0.0610784700244,874355602.810547,129185.34526665,cf73f865-84eb-422c-9aa2-6c01da1955ab
132,1328,Volusia,Florida,12,127,12127,528719,433.3,494593,405.4,408256,51791,1778,7567,204,55217,14487,10510,241715,252878,24337,24819,26923,31095,30798,50842,56611,74193,70686,53767,35872,14650,45.3,43.5,46.7,208236,2.31,26605,34834,30687,64711,5417,15076,130386,2.84,254226,45990,150443,57793,1363,78,23360,81802,1220.16,3.88473774471,0.286601060438,4064139742.30078,467829.389780416,2ce27491-e293-4168-b60a-0f18d8a813bf
133,1329,Wakulla,Florida,12,129,12129,32143,52.2,30776,49.9,25224,4464,191,172,18,1016,148,559,16992,13784,1740,2000,1951,1905,1770,4276,4778,5167,3850,2123,958,258,38.7,38.2,39.3,10490,2.61,1153,1186,2439,3180,381,912,7591,3.03,12804,2314,8469,2021,171,181,1998,13322,616.28,1.82649997088,0.149625003079,2144773630.59375,214188.011577396,7bbeb74c-ab05-4325-abf2-4c7a2b8f0c4c
134,1330,Walton,Florida,12,131,12131,64209,60,55043,51.5,48351,3178,488,499,58,2921,1169,1300,28177,26866,3355,3159,2916,3124,2945,6938,7116,8714,7833,5458,2630,855,42.1,40.6,43.9,22301,2.38,2846,3317,3853,7106,634,1586,14512,2.87,45132,22831,16194,6107,670,221,30700,42633,1069.31,3.01460146329,0.262825677174,3786042882.22656,360562.179069108,665caa1e-9e8d-421f-8363-73c9e26325bd
